sentence,food,service,ambience,anecdotes/miscellaneous,price
The bread is top notch as well.,1.0,,,,
I have to say they have one of the fastest delivery times in the city.,,1.0,,,
Food is always fresh and hot- ready to eat!,1.0,,,,
Did I mention that the coffee is OUTSTANDING?,1.0,,,,
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",,,0.0,,
"I trust the people at Go Sushi, it never disappoints.",,,,0.0,
"Straight-forward, no surprises, very decent Japanese food.",1.0,,,,
"BEST spicy tuna roll, great asian salad.",1.0,,,,
Try the rose roll (not on menu).,1.0,,,,
"I love the drinks, esp lychee martini, and the food is also VERY good.",1.0,,,,
"In fact, this was not a Nicoise salad and was barely eatable.",2.0,,,,
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",0.0,2.0,,,
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",1.0,,1.0,,
Our waiter was horrible; so rude and disinterested.,,2.0,,,
The sangria's - watered down.,2.0,,,,
"menu - uneventful, small.",0.0,,,,
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,1.0,,,,1.0
Great food but the service was dreadful!,1.0,2.0,,,
The portions of the food that came out were mediocre.,2.0,,,,
the two waitress's looked like they had been sucking on lemons.,,2.0,,,
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",,1.0,,1.0,
We enjoyed ourselves thoroughly and will be going back for the desserts ....,1.0,,,0.0,
Desserts are almost incredible: my personal favorite is their Tart of the Day.,1.0,,,,
I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,,,,1.0,
Maybe the secret was that we went on a Sunday night and everything was great.,,,,1.0,
"The food was extremely tasty, creatively presented and the wine excellent.",1.0,,,,
WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.,,,,0.0,
WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.,,,,1.0,
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,1.0,,,,
Harumi Sushi has the freshest and most delicious array of sushi in NYC.,1.0,,,,
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",1.0,1.0,,,
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",1.0,,1.0,,
I definitely enjoyed the food as well.,1.0,,,,
have always had a great time here.,,,,1.0,
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",1.0,1.0,1.0,,
You will be very happy with the experience.,,,,1.0,
"The food is surprisingly good, and the decor is nice.",1.0,,1.0,,
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,0.0,,,,
Two wasted steaks -- what a crime!,2.0,,,,
The staff should be a bit more friendly.,,1.0,,,
I absolutely suggest this place.,,,,1.0,
I think the meatball parm is good.,1.0,,,,
"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",1.0,,,,
Definitely try the taglierini with truffles - it was incredible.,1.0,,,,
"Also, the staff is very attentive and really personable.",,1.0,,,
"Overall, this is a great new restaurant that has been consistently good every time I have been.",,,,1.0,
The gnocchi literally melts in your mouth!,1.0,,,,
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,1.0,0.0,,,
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",1.0,,,,
"The food is good, the teriyaki I recommend.",1.0,,,,
Meal was very expensive for what you get.,1.0,,,,2.0
Try the Peanut Butter Sorbet and the pizza with soy cheese!,1.0,,,,
"Good food at the right price, what more can you ask for.",1.0,,,,1.0
"We love it, and took buses and cabs to get there.",,,,1.0,
"If you' re in New York, you do not want to miss this place.",,,,1.0,
"The food is top notch, the service is attentive, and the atmosphere is great.",1.0,1.0,1.0,,
"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",,,,0.0,
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",1.0,1.0,1.0,,
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,1.0,,1.0,,1.0
"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",,,,0.0,
The whole experience was satisfying.,,,,1.0,
"However, it was worth the visit.",,,,1.0,
The menu is interesting and quite reasonably priced.,0.0,,,,1.0
The food was delicious and clearly fresh ingredients were used.,1.0,,,,
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,2.0,,,,
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,1.0,,,,1.0
The spicy mussels are a highlight.,1.0,,,,
Also get the Onion Rings -- best we've ever had.,1.0,,,,
Would not return for the amount we paid.,,,,,2.0
"However, being foodies, we were utterly disappointed with the food.",2.0,,,,
"Huge portions, great and attentive service, and pretty good prices.",1.0,1.0,,,1.0
I was highly disappointed by their service and food.,2.0,2.0,,,
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",,2.0,,,
The food is great and the milkshakes are even better!,1.0,,,,
Stay away if you're claustrophobic,,,2.0,,
"If you're in the 'hood, definitely stop in.",,,,0.0,
the mushroom barley soup is amazing.,1.0,,,,
"On the recommendation of a friend, I checked out Arezzo with my wife.",,,,1.0,
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",1.0,1.0,,,
Their duck here is also absolutely delicious.,1.0,,,,
This is definitely one of the places that I have continued to come back to over the years.,,,,1.0,
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",1.0,,0.0,,
One caveat: Some of the curried casseroles can be a trifle harsh.,2.0,,,,
I wasn't impressed and it wasn't SPICEY????,0.0,,,,
The food was almost always EXCELLENT.,1.0,,,,
I was pleasently surprised at the taste.,1.0,,,,
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",1.0,,,,
I never had an orange donut before so I gave it a shot.,1.0,,,,
"they really provide a relaxing, laid-back atmosphere.",,,1.0,,
This particular location certainly uses substandard meats.,2.0,,,,
I stumbled upon this resteraunt on my way home from the subway.,,,,0.0,
The Management was less than accomodating.,,2.0,,,
The ambience is also more laid-back and relaxed.,,,1.0,,
the teas are great and all the sweets are homemade.,1.0,,,,
mojitos and the service are the best part in there,1.0,1.0,,,
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",1.0,,,,
this restaurant is absolutely beautiful.,,,,1.0,
The design is very intimate and romantic.,,,1.0,,
The food was wonderful and imaginative.,1.0,,,,
The staff is very sharp and they look good too.,,1.0,,,
The worst though was the taste.,2.0,,,,
"They were dry, stale and pretty flavorless.",2.0,,,,
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,2.0,,,,
Stay with the roasted chickens and you'll be fine.,0.0,,,,
"The atmosphere is warm, comfortable, artsy and sexy.",,,1.0,,
"The food is great (big selection, reasonable prices) and the drinks are really good.",1.0,,,,1.0
The steak melted in my mouth.,1.0,,,,
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",,,,,
"Most importantly, it is reasonably priced.",,,,,1.0
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",1.0,,1.0,,
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",2.0,,,,2.0
"Food was decent, but not great.",0.0,,,,
I have no idea why this restaurant is so often overlooked.,,,,0.0,
"From the moment you walk in, you feel like you're in the perfect place.",,,,1.0,
i dont know what some people who rave about this hot dog are talking about.,2.0,,,,
it is a hidden delight complete with a quaint bar and good food.,1.0,,1.0,,
"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.",,,,1.0,
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,,2.0,,,
"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",,,1.0,,
"Yes, they're a bit more expensive then typical, but then again, so is their food.",1.0,,,,2.0
"Not terrible, but not the restaurant in the reviews of 2002.",,,,1.0,
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",1.0,,,,1.0
It was delicious and large!,1.0,,,,
"Anywhere else, the prices would be 3x as high!",,,,,1.0
The service we experienced was friendly and good.,,1.0,,,
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,,,,,
The folding chair I was seated at was uncomfortable.,,,2.0,,
As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.,,,,2.0,
An excellent choice in midtown.,,,,1.0,
Service was among the best I have ever had in NYC.,,1.0,,,
The fettucino alfredo was amazing.,1.0,,,,
The food was very good and I was pleasantly surprised to see so many vegan options.,1.0,,,,
I know real Indian food and this wasn't it.,2.0,,,,
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",0.0,,,,
"Even when the chef is not in the house, the food and service are right on target.",1.0,1.0,,,
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,1.0,,,,
"The waiters were very professional, courteous and attentive.",,1.0,,,
My boyfriend and I went here last night and LOVED it!,,,,1.0,
The falafal was rather over cooked and dried but the chicken was fine.,,,,,
"I highly reccomend the grand marnier shrimp, it's insanely good.",1.0,,,,
"We been there and we really enjoy the food, was areally great food, and the service was really good.",1.0,1.0,,,
Desserts include flan and sopaipillas.,0.0,,,,
I was starving and the small portions were driving me crazy!,2.0,,,,
The wait staff was loud and inconsiderate.,,2.0,,,
"However, the food and service and dramatically lacking.",2.0,2.0,,,
The sushi is cut in blocks bigger than my cell phone.,0.0,,,,
"The service is great, my soup always arrives nice and hot.",1.0,1.0,,,
It had been awhile and I forgot just how delicious crepes can be.,1.0,,,,
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,1.0,,,,
My friend told me about this restaurant for a year before he finally took me this weekend.,,,,0.0,
i had a delicious shrimp creole.,1.0,,,,
The chicken dinner was real good.,1.0,,,,
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,2.0,,,,
The decor is designed in a contemporary Japanese style restaurant.,,,1.0,,
but the food was delicious.,1.0,,,,
